location,lat,long
Abila Airport,36.054017959999996,24.879911565
Abila Zacharo,36.057020614421766,24.866116291496603
Albert's Fine Clothing,36.07319631962964,24.874146390000003
Bean There Done That,36.05817771228915,24.87324293084337
Brew've Been Served,36.05306751350516,24.89220306087629
Brewed Awakenings,36.0608632089091,24.870696846545453
Carlyle Chemical Inc.,36.05581189,24.9025844
Chostus Hotel,36.05967831846154,24.886369253076925
Coffee Cameleon,36.05380599969231,24.884998860615383
Frank's Fuel,36.063120194,24.881661202
Frydos Autosupply n' More,36.06303742878788,24.886755270303038
Gelatogalore,36.05484474521277,24.872799876276602
General Grocer,36.061207659000004,24.880301257
Guy's Gyros,36.05370931674157,24.89290685078651
Hallowed Grounds,36.05909882191357,24.8840995551852
Hippokampos,36.0691327337097,24.86982318060484
Jack's Magical Beans,36.057575840243906,24.872197955365856
Kalami Kafenion,36.05879739752809,24.866470976179777
Katerina’s Café,36.05729050634146,24.88970789227642
Kronos Mart,36.063832546956526,24.873481385652177
Kronos Pipe and Irrigation,36.04803033,24.87956526
Maximum Iron and Steel,36.06402993,24.84144265
Nationwide Refinery,36.055731030000004,24.865297015
Octavio's Office Supplies,36.054088435000004,24.871688573333333
Ouzeri Elian,36.055444685762716,24.87537435254238
Roberts and Sons,36.06323877,24.873009403333338
Shoppers' Delight,36.05869181321428,24.882970243928575
Stewart and Sons Fabrication,36.04803181,24.87957484
U-Pump,36.06432064888889,24.876984715555558
